   Elapsed time	 RESP, 
       0:14.992	  0.000
       0:15.000	  0.000
       0:15.008	  0.000
       0:15.016	  0.000
       0:15.024	  0.000
       0:15.032	  0.000
       0:15.040	  0.000
       0:15.048	  0.000
       0:15.056	  0.000
       0:15.064	  0.000
       0:15.072	  0.000
       0:15.080	  0.000
       0:15.088	  0.000
       0:15.096	  0.000
       0:15.104	  0.000
       0:15.112	  0.000
       0:15.120	  0.000
       0:15.128	  0.000
       0:15.136	  0.000
       0:15.144	  0.000
       0:15.152	  0.000
       0:15.160	  0.000
       0:15.168	  0.000
       0:15.176	  0.000
       0:15.184	  0.000
       0:15.192	  0.000
       0:15.200	  0.000
       0:15.208	  0.000
       0:15.216	  0.000
       0:15.224	  0.000
       0:15.232	  0.000
       0:15.240	  0.000
       0:15.248	  0.000
       0:15.256	  0.000
       0:15.264	  0.000
       0:15.272	  0.000
       0:15.280	  0.000
       0:15.288	  0.000
       0:15.296	  0.000
       0:15.304	  0.000
       0:15.312	  0.000
       0:15.320	  0.000
       0:15.328	  0.000
       0:15.336	  0.000
       0:15.344	  0.000
       0:15.352	  0.001
       0:15.360	  0.006
       0:15.368	  0.012
       0:15.376	  0.016
       0:15.384	  0.021
       0:15.392	  0.025
       0:15.400	  0.029
       0:15.408	  0.032
       0:15.416	  0.035
       0:15.424	  0.037
       0:15.432	  0.039
       0:15.440	  0.040
       0:15.448	  0.042
       0:15.456	  0.042
       0:15.464	  0.042
       0:15.472	  0.041
       0:15.480	  0.040
       0:15.488	  0.038
       0:15.496	  0.036
       0:15.504	  0.033
       0:15.512	  0.031
       0:15.520	  0.028
       0:15.528	  0.025
       0:15.536	  0.022
       0:15.544	  0.018
       0:15.552	  0.013
       0:15.560	  0.008
       0:15.568	  0.004
       0:15.576	  0.000
       0:15.584	  0.000
       0:15.592	  0.000
       0:15.600	  0.000
       0:15.608	  0.000
       0:15.616	  0.000
       0:15.624	  0.000
       0:15.632	  0.000
       0:15.640	  0.000
       0:15.648	  0.004
       0:15.656	  0.008
       0:15.664	  0.013
       0:15.672	  0.018
       0:15.680	  0.024
       0:15.688	  0.030
       0:15.696	  0.038
       0:15.704	  0.046
       0:15.712	  0.056
       0:15.720	  0.065
       0:15.728	  0.076
       0:15.736	  0.087
       0:15.744	  0.099
       0:15.752	  0.110
       0:15.760	  0.122
       0:15.768	  0.133
       0:15.776	  0.144
       0:15.784	  0.154
       0:15.792	  0.165
       0:15.800	  0.176
       0:15.808	  0.187
       0:15.816	  0.197
       0:15.824	  0.207
       0:15.832	  0.217
       0:15.840	  0.226
       0:15.848	  0.235
       0:15.856	  0.244
       0:15.864	  0.254
       0:15.872	  0.265
       0:15.880	  0.277
       0:15.888	  0.288
       0:15.896	  0.300
       0:15.904	  0.313
       0:15.912	  0.325
       0:15.920	  0.336
       0:15.928	  0.347
       0:15.936	  0.358
       0:15.944	  0.369
       0:15.952	  0.380
       0:15.960	  0.392
       0:15.968	  0.405
       0:15.976	  0.418
       0:15.984	  0.431
       0:15.992	  0.444
       0:16.000	  0.456
       0:16.008	  0.469
       0:16.016	  0.483
       0:16.024	  0.498
       0:16.032	  0.512
       0:16.040	  0.527
       0:16.048	  0.543
       0:16.056	  0.557
       0:16.064	  0.572
       0:16.072	  0.587
       0:16.080	  0.599
       0:16.088	  0.612
       0:16.096	  0.624
       0:16.104	  0.634
       0:16.112	  0.645
       0:16.120	  0.655
       0:16.128	  0.665
       0:16.136	  0.674
       0:16.144	  0.681
       0:16.152	  0.689
       0:16.160	  0.695
       0:16.168	  0.702
       0:16.176	  0.709
       0:16.184	  0.717
       0:16.192	  0.724
       0:16.200	  0.733
       0:16.208	  0.743
       0:16.216	  0.754
       0:16.224	  0.764
       0:16.232	  0.776
       0:16.240	  0.787
       0:16.248	  0.798
       0:16.256	  0.808
       0:16.264	  0.819
       0:16.272	  0.832
       0:16.280	  0.845
       0:16.288	  0.859
       0:16.296	  0.874
       0:16.304	  0.887
       0:16.312	  0.900
       0:16.320	  0.913
       0:16.328	  0.925
       0:16.336	  0.937
       0:16.344	  0.950
       0:16.352	  0.963
       0:16.360	  0.976
       0:16.368	  0.987
       0:16.376	  1.000
       0:16.384	  1.000
       0:16.392	  1.000
       0:16.400	  1.000
       0:16.408	  1.000
       0:16.416	  1.000
       0:16.424	  1.000
       0:16.432	  1.000
       0:16.440	  1.000
       0:16.448	  1.000
       0:16.456	  1.000
       0:16.464	  1.000
       0:16.472	  1.000
       0:16.480	  1.000
       0:16.488	  1.000
       0:16.496	  1.000
       0:16.504	  1.000
       0:16.512	  1.000
       0:16.520	  1.000
       0:16.528	  1.000
       0:16.536	  1.000
       0:16.544	  1.000
       0:16.552	  1.000
       0:16.560	  1.000
       0:16.568	  1.000
       0:16.576	  1.000
       0:16.584	  1.000
       0:16.592	  0.987
       0:16.600	  0.975
       0:16.608	  0.955
       0:16.616	  0.936
       0:16.624	  0.917
       0:16.632	  0.898
       0:16.640	  0.880
       0:16.648	  0.861
       0:16.656	  0.840
       0:16.664	  0.817
       0:16.672	  0.793
       0:16.680	  0.769
       0:16.688	  0.743
       0:16.696	  0.717
       0:16.704	  0.689
       0:16.712	  0.662
       0:16.720	  0.636
       0:16.728	  0.611
       0:16.736	  0.587
       0:16.744	  0.565
       0:16.752	  0.540
       0:16.760	  0.514
       0:16.768	  0.489
       0:16.776	  0.462
       0:16.784	  0.439
       0:16.792	  0.415
       0:16.800	  0.394
       0:16.808	  0.373
       0:16.816	  0.354
       0:16.824	  0.333
       0:16.832	  0.315
       0:16.840	  0.296
       0:16.848	  0.280
       0:16.856	  0.263
       0:16.864	  0.249
       0:16.872	  0.236
       0:16.880	  0.225
       0:16.888	  0.215
       0:16.896	  0.208
       0:16.904	  0.201
       0:16.912	  0.197
       0:16.920	  0.194
       0:16.928	  0.192
       0:16.936	  0.191
       0:16.944	  0.190
       0:16.952	  0.190
       0:16.960	  0.190
       0:16.968	  0.191
       0:16.976	  0.193
       0:16.984	  0.195
       0:16.992	  0.196
       0:17.000	  0.199
       0:17.008	  0.201
       0:17.016	  0.203
       0:17.024	  0.205
       0:17.032	  0.207
       0:17.040	  0.209
       0:17.048	  0.211
       0:17.056	  0.213
       0:17.064	  0.215
       0:17.072	  0.217
       0:17.080	  0.220
       0:17.088	  0.222
       0:17.096	  0.225
       0:17.104	  0.227
       0:17.112	  0.230
       0:17.120	  0.232
       0:17.128	  0.235
       0:17.136	  0.238
       0:17.144	  0.240
       0:17.152	  0.243
       0:17.160	  0.247
       0:17.168	  0.250
       0:17.176	  0.254
       0:17.184	  0.258
       0:17.192	  0.262
       0:17.200	  0.266
       0:17.208	  0.270
       0:17.216	  0.273
       0:17.224	  0.276
       0:17.232	  0.279
       0:17.240	  0.282
       0:17.248	  0.283
       0:17.256	  0.284
       0:17.264	  0.286
       0:17.272	  0.287
       0:17.280	  0.288
       0:17.288	  0.289
       0:17.296	  0.288
       0:17.304	  0.287
       0:17.312	  0.284
       0:17.320	  0.283
       0:17.328	  0.278
       0:17.336	  0.274
       0:17.344	  0.269
       0:17.352	  0.263
       0:17.360	  0.258
       0:17.368	  0.253
       0:17.376	  0.247
       0:17.384	  0.242
       0:17.392	  0.235
       0:17.400	  0.228
       0:17.408	  0.220
       0:17.416	  0.212
       0:17.424	  0.204
       0:17.432	  0.196
       0:17.440	  0.189
       0:17.448	  0.182
       0:17.456	  0.174
       0:17.464	  0.166
       0:17.472	  0.157
       0:17.480	  0.150
       0:17.488	  0.143
       0:17.496	  0.136
       0:17.504	  0.130
       0:17.512	  0.124
       0:17.520	  0.120
       0:17.528	  0.116
       0:17.536	  0.113
       0:17.544	  0.111
       0:17.552	  0.109
       0:17.560	  0.108
       0:17.568	  0.107
       0:17.576	  0.106
       0:17.584	  0.105
       0:17.592	  0.105
       0:17.600	  0.105
       0:17.608	  0.105
       0:17.616	  0.104
       0:17.624	  0.104
       0:17.632	  0.103
       0:17.640	  0.102
       0:17.648	  0.100
       0:17.656	  0.097
       0:17.664	  0.094
       0:17.672	  0.091
       0:17.680	  0.088
       0:17.688	  0.085
       0:17.696	  0.082
       0:17.704	  0.079
       0:17.712	  0.076
       0:17.720	  0.073
       0:17.728	  0.070
       0:17.736	  0.067
       0:17.744	  0.065
       0:17.752	  0.064
       0:17.760	  0.063
       0:17.768	  0.063
       0:17.776	  0.062
       0:17.784	  0.062
       0:17.792	  0.062
       0:17.800	  0.062
       0:17.808	  0.064
       0:17.816	  0.065
       0:17.824	  0.066
       0:17.832	  0.068
       0:17.840	  0.070
       0:17.848	  0.073
       0:17.856	  0.075
       0:17.864	  0.078
       0:17.872	  0.081
       0:17.880	  0.085
       0:17.888	  0.089
       0:17.896	  0.093
       0:17.904	  0.097
       0:17.912	  0.101
       0:17.920	  0.105
       0:17.928	  0.108
       0:17.936	  0.111
       0:17.944	  0.115
       0:17.952	  0.120
       0:17.960	  0.125
       0:17.968	  0.131
       0:17.976	  0.136
       0:17.984	  0.143
       0:17.992	  0.149
       0:18.000	  0.153
       0:18.008	  0.159
       0:18.016	  0.164
       0:18.024	  0.170
       0:18.032	  0.176
       0:18.040	  0.182
       0:18.048	  0.189
       0:18.056	  0.196
       0:18.064	  0.202
       0:18.072	  0.209
       0:18.080	  0.215
       0:18.088	  0.222
       0:18.096	  0.230
       0:18.104	  0.239
       0:18.112	  0.248
       0:18.120	  0.258
       0:18.128	  0.269
       0:18.136	  0.281
       0:18.144	  0.293
       0:18.152	  0.306
       0:18.160	  0.319
       0:18.168	  0.331
       0:18.176	  0.344
       0:18.184	  0.357
       0:18.192	  0.371
       0:18.200	  0.386
       0:18.208	  0.402
       0:18.216	  0.418
       0:18.224	  0.433
       0:18.232	  0.448
       0:18.240	  0.461
       0:18.248	  0.475
       0:18.256	  0.489
       0:18.264	  0.503
       0:18.272	  0.518
       0:18.280	  0.533
       0:18.288	  0.547
       0:18.296	  0.562
       0:18.304	  0.576
       0:18.312	  0.590
       0:18.320	  0.603
       0:18.328	  0.616
       0:18.336	  0.627
       0:18.344	  0.638
       0:18.352	  0.649
       0:18.360	  0.661
       0:18.368	  0.672
       0:18.376	  0.683
       0:18.384	  0.694
       0:18.392	  0.705
       0:18.400	  0.716
       0:18.408	  0.725
       0:18.416	  0.737
       0:18.424	  0.748
       0:18.432	  0.760
       0:18.440	  0.771
       0:18.448	  0.783
       0:18.456	  0.796
       0:18.464	  0.807
       0:18.472	  0.820
       0:18.480	  0.832
       0:18.488	  0.844
       0:18.496	  0.854
       0:18.504	  0.865
       0:18.512	  0.878
       0:18.520	  0.890
       0:18.528	  0.902
       0:18.536	  0.915
       0:18.544	  0.927
       0:18.552	  0.939
       0:18.560	  0.950
       0:18.568	  0.962
       0:18.576	  0.974
       0:18.584	  0.986
       0:18.592	  0.993
       0:18.600	  1.000
       0:18.608	  1.000
       0:18.616	  1.000
       0:18.624	  1.000
       0:18.632	  1.000
       0:18.640	  1.000
       0:18.648	  1.000
       0:18.656	  1.000
       0:18.664	  1.000
       0:18.672	  1.000
       0:18.680	  1.000
       0:18.688	  1.000
       0:18.696	  1.000
       0:18.704	  1.000
       0:18.712	  1.000
       0:18.720	  1.000
       0:18.728	  1.000
       0:18.736	  1.000
       0:18.744	  1.000
       0:18.752	  1.000
       0:18.760	  1.000
       0:18.768	  1.000
       0:18.776	  1.000
       0:18.784	  1.000
       0:18.792	  1.000
       0:18.800	  1.000
       0:18.808	  1.000
       0:18.816	  1.000
       0:18.824	  1.000
       0:18.832	  1.000
       0:18.840	  1.000
       0:18.848	  1.000
       0:18.856	  1.000
       0:18.864	  1.000
       0:18.872	  1.000
       0:18.880	  1.000
       0:18.888	  1.000
       0:18.896	  1.000
       0:18.904	  1.000
       0:18.912	  1.000
       0:18.920	  1.000
       0:18.928	  1.000
       0:18.936	  1.000
       0:18.944	  0.984
       0:18.952	  0.969
       0:18.960	  0.948
       0:18.968	  0.928
       0:18.976	  0.907
       0:18.984	  0.887
       0:18.992	  0.864
       0:19.000	  0.842
       0:19.008	  0.818
       0:19.016	  0.795
       0:19.024	  0.773
       0:19.032	  0.753
       0:19.040	  0.733
       0:19.048	  0.715
       0:19.056	  0.696
       0:19.064	  0.677
       0:19.072	  0.659
       0:19.080	  0.641
       0:19.088	  0.625
       0:19.096	  0.609
       0:19.104	  0.595
       0:19.112	  0.582
       0:19.120	  0.570
       0:19.128	  0.558
       0:19.136	  0.548
       0:19.144	  0.540
       0:19.152	  0.532
       0:19.160	  0.525
       0:19.168	  0.519
       0:19.176	  0.513
       0:19.184	  0.508
       0:19.192	  0.504
       0:19.200	  0.500
       0:19.208	  0.497
       0:19.216	  0.493
       0:19.224	  0.489
       0:19.232	  0.484
       0:19.240	  0.480
       0:19.248	  0.474
       0:19.256	  0.469
       0:19.264	  0.463
       0:19.272	  0.457
       0:19.280	  0.452
       0:19.288	  0.446
       0:19.296	  0.439
       0:19.304	  0.432
       0:19.312	  0.423
       0:19.320	  0.414
       0:19.328	  0.405
       0:19.336	  0.395
       0:19.344	  0.385
       0:19.352	  0.375
       0:19.360	  0.367
       0:19.368	  0.358
       0:19.376	  0.349
       0:19.384	  0.340
       0:19.392	  0.331
       0:19.400	  0.324
       0:19.408	  0.317
       0:19.416	  0.311
       0:19.424	  0.306
       0:19.432	  0.301
       0:19.440	  0.297
       0:19.448	  0.294
       0:19.456	  0.292
       0:19.464	  0.291
       0:19.472	  0.291
       0:19.480	  0.291
       0:19.488	  0.293
       0:19.496	  0.295
       0:19.504	  0.297
       0:19.512	  0.299
       0:19.520	  0.301
       0:19.528	  0.303
       0:19.536	  0.305
       0:19.544	  0.307
       0:19.552	  0.309
       0:19.560	  0.311
       0:19.568	  0.311
       0:19.576	  0.311
       0:19.584	  0.309
       0:19.592	  0.307
       0:19.600	  0.304
       0:19.608	  0.302
       0:19.616	  0.298
       0:19.624	  0.295
       0:19.632	  0.291
       0:19.640	  0.287
       0:19.648	  0.283
       0:19.656	  0.278
       0:19.664	  0.273
       0:19.672	  0.268
       0:19.680	  0.263
       0:19.688	  0.258
       0:19.696	  0.253
       0:19.704	  0.249
       0:19.712	  0.244
       0:19.720	  0.240
       0:19.728	  0.237
       0:19.736	  0.234
       0:19.744	  0.231
       0:19.752	  0.229
       0:19.760	  0.227
       0:19.768	  0.225
       0:19.776	  0.224
       0:19.784	  0.223
       0:19.792	  0.222
       0:19.800	  0.221
       0:19.808	  0.221
       0:19.816	  0.220
       0:19.824	  0.220
       0:19.832	  0.220
       0:19.840	  0.219
       0:19.848	  0.219
       0:19.856	  0.218
       0:19.864	  0.217
       0:19.872	  0.215
       0:19.880	  0.213
       0:19.888	  0.209
       0:19.896	  0.205
       0:19.904	  0.200
       0:19.912	  0.196
       0:19.920	  0.190
       0:19.928	  0.185
       0:19.936	  0.180
       0:19.944	  0.175
       0:19.952	  0.168
       0:19.960	  0.161
       0:19.968	  0.152
       0:19.976	  0.145
       0:19.984	  0.137
       0:19.992	  0.129
       0:20.000	  0.122
       0:20.008	  0.115
       0:20.016	  0.109
       0:20.024	  0.102
       0:20.032	  0.095
       0:20.040	  0.088
       0:20.048	  0.083
       0:20.056	  0.078
       0:20.064	  0.074
       0:20.072	  0.071
       0:20.080	  0.068
       0:20.088	  0.066
       0:20.096	  0.065
       0:20.104	  0.065
       0:20.112	  0.065
       0:20.120	  0.065
       0:20.128	  0.064
       0:20.136	  0.064
       0:20.144	  0.065
       0:20.152	  0.065
       0:20.160	  0.066
       0:20.168	  0.067
       0:20.176	  0.068
       0:20.184	  0.069
       0:20.192	  0.070
       0:20.200	  0.071
       0:20.208	  0.072
       0:20.216	  0.073
       0:20.224	  0.075
       0:20.232	  0.077
       0:20.240	  0.080
       0:20.248	  0.083
       0:20.256	  0.087
       0:20.264	  0.091
       0:20.272	  0.097
       0:20.280	  0.103
       0:20.288	  0.109
       0:20.296	  0.116
       0:20.304	  0.124
       0:20.312	  0.132
       0:20.320	  0.141
       0:20.328	  0.150
       0:20.336	  0.161
       0:20.344	  0.173
       0:20.352	  0.187
       0:20.360	  0.201
       0:20.368	  0.217
       0:20.376	  0.233
       0:20.384	  0.249
       0:20.392	  0.267
       0:20.400	  0.283
       0:20.408	  0.298
       0:20.416	  0.312
       0:20.424	  0.326
       0:20.432	  0.342
       0:20.440	  0.358
       0:20.448	  0.373
       0:20.456	  0.389
       0:20.464	  0.404
       0:20.472	  0.419
       0:20.480	  0.433
       0:20.488	  0.447
       0:20.496	  0.460
       0:20.504	  0.475
       0:20.512	  0.490
       0:20.520	  0.504
       0:20.528	  0.519
       0:20.536	  0.534
       0:20.544	  0.548
       0:20.552	  0.562
       0:20.560	  0.575
       0:20.568	  0.587
       0:20.576	  0.597
       0:20.584	  0.607
       0:20.592	  0.617
       0:20.600	  0.626
       0:20.608	  0.634
       0:20.616	  0.643
       0:20.624	  0.651
       0:20.632	  0.660
       0:20.640	  0.668
       0:20.648	  0.675
       0:20.656	  0.684
       0:20.664	  0.693
       0:20.672	  0.702
       0:20.680	  0.712
       0:20.688	  0.723
       0:20.696	  0.735
       0:20.704	  0.748
       0:20.712	  0.761
       0:20.720	  0.773
       0:20.728	  0.785
       0:20.736	  0.797
       0:20.744	  0.808
       0:20.752	  0.820
       0:20.760	  0.833
       0:20.768	  0.846
       0:20.776	  0.859
       0:20.784	  0.871
       0:20.792	  0.884
       0:20.800	  0.895
       0:20.808	  0.906
       0:20.816	  0.918
       0:20.824	  0.930
       0:20.832	  0.942
       0:20.840	  0.954
       0:20.848	  0.967
       0:20.856	  0.979
       0:20.864	  0.989
       0:20.872	  1.000
       0:20.880	  1.000
       0:20.888	  1.000
       0:20.896	  1.000
       0:20.904	  1.000
       0:20.912	  1.000
       0:20.920	  1.000
       0:20.928	  1.000
       0:20.936	  1.000
       0:20.944	  1.000
       0:20.952	  1.000
       0:20.960	  1.000
       0:20.968	  1.000
       0:20.976	  1.000
       0:20.984	  1.000
       0:20.992	  1.000
       0:21.000	  1.000
       0:21.008	  1.000
       0:21.016	  1.000
       0:21.024	  1.000
       0:21.032	  1.000
       0:21.040	  1.000
       0:21.048	  1.000
       0:21.056	  1.000
       0:21.064	  1.000
       0:21.072	  1.000
       0:21.080	  1.000
       0:21.088	  1.000
       0:21.096	  1.000
       0:21.104	  1.000
       0:21.112	  1.000
       0:21.120	  1.000
       0:21.128	  1.000
       0:21.136	  1.000
       0:21.144	  1.000
       0:21.152	  1.000
       0:21.160	  1.000
       0:21.168	  1.000
       0:21.176	  1.000
       0:21.184	  1.000
       0:21.192	  1.000
       0:21.200	  0.991
       0:21.208	  0.981
       0:21.216	  0.954
       0:21.224	  0.926
       0:21.232	  0.894
       0:21.240	  0.864
       0:21.248	  0.831
       0:21.256	  0.798
       0:21.264	  0.767
       0:21.272	  0.738
       0:21.280	  0.710
       0:21.288	  0.682
       0:21.296	  0.656
       0:21.304	  0.630
       0:21.312	  0.605
       0:21.320	  0.580
       0:21.328	  0.558
       0:21.336	  0.537
       0:21.344	  0.519
       0:21.352	  0.501
       0:21.360	  0.487
       0:21.368	  0.472
       0:21.376	  0.460
       0:21.384	  0.449
       0:21.392	  0.439
       0:21.400	  0.430
       0:21.408	  0.423
       0:21.416	  0.416
       0:21.424	  0.411
       0:21.432	  0.406
       0:21.440	  0.401
       0:21.448	  0.397
       0:21.456	  0.392
       0:21.464	  0.388
       0:21.472	  0.383
       0:21.480	  0.379
       0:21.488	  0.374
       0:21.496	  0.370
       0:21.504	  0.367
       0:21.512	  0.363
       0:21.520	  0.360
       0:21.528	  0.356
       0:21.536	  0.353
       0:21.544	  0.350
       0:21.552	  0.348
       0:21.560	  0.347
       0:21.568	  0.347
       0:21.576	  0.347
       0:21.584	  0.348
       0:21.592	  0.349
       0:21.600	  0.351
       0:21.608	  0.353
       0:21.616	  0.357
       0:21.624	  0.361
       0:21.632	  0.366
       0:21.640	  0.370
       0:21.648	  0.376
       0:21.656	  0.382
       0:21.664	  0.388
       0:21.672	  0.394
       0:21.680	  0.399
       0:21.688	  0.405
       0:21.696	  0.411
       0:21.704	  0.415
       0:21.712	  0.420
       0:21.720	  0.426
       0:21.728	  0.431
       0:21.736	  0.436
       0:21.744	  0.439
       0:21.752	  0.443
       0:21.760	  0.446
       0:21.768	  0.449
       0:21.776	  0.450
       0:21.784	  0.452
       0:21.792	  0.452
       0:21.800	  0.452
       0:21.808	  0.451
       0:21.816	  0.449
       0:21.824	  0.446
       0:21.832	  0.443
       0:21.840	  0.439
       0:21.848	  0.436
       0:21.856	  0.432
       0:21.864	  0.427
       0:21.872	  0.421
       0:21.880	  0.415
       0:21.888	  0.409
       0:21.896	  0.401
       0:21.904	  0.393
       0:21.912	  0.386
       0:21.920	  0.378
       0:21.928	  0.370
       0:21.936	  0.362
       0:21.944	  0.354
       0:21.952	  0.345
       0:21.960	  0.337
       0:21.968	  0.329
       0:21.976	  0.322
       0:21.984	  0.315
       0:21.992	  0.307
       0:22.000	  0.301
       0:22.008	  0.295
       0:22.016	  0.289
       0:22.024	  0.284
       0:22.032	  0.280
       0:22.040	  0.276
       0:22.048	  0.272
       0:22.056	  0.268
       0:22.064	  0.264
       0:22.072	  0.260
       0:22.080	  0.257
       0:22.088	  0.253
       0:22.096	  0.248
       0:22.104	  0.243
       0:22.112	  0.237
       0:22.120	  0.230
       0:22.128	  0.222
       0:22.136	  0.215
       0:22.144	  0.206
       0:22.152	  0.198
       0:22.160	  0.191
       0:22.168	  0.183
       0:22.176	  0.176
       0:22.184	  0.168
       0:22.192	  0.160
       0:22.200	  0.153
       0:22.208	  0.146
       0:22.216	  0.138
       0:22.224	  0.131
       0:22.232	  0.125
       0:22.240	  0.120
       0:22.248	  0.115
       0:22.256	  0.112
       0:22.264	  0.109
       0:22.272	  0.107
       0:22.280	  0.104
       0:22.288	  0.102
       0:22.296	  0.100
       0:22.304	  0.098
       0:22.312	  0.097
       0:22.320	  0.097
       0:22.328	  0.096
       0:22.336	  0.096
       0:22.344	  0.096
       0:22.352	  0.097
       0:22.360	  0.097
       0:22.368	  0.097
       0:22.376	  0.097
       0:22.384	  0.098
       0:22.392	  0.099
       0:22.400	  0.100
       0:22.408	  0.101
       0:22.416	  0.101
       0:22.424	  0.102
       0:22.432	  0.103
       0:22.440	  0.104
       0:22.448	  0.106
       0:22.456	  0.107
       0:22.464	  0.109
       0:22.472	  0.111
       0:22.480	  0.113
       0:22.488	  0.115
       0:22.496	  0.118
       0:22.504	  0.120
       0:22.512	  0.124
       0:22.520	  0.129
       0:22.528	  0.134
       0:22.536	  0.140
       0:22.544	  0.146
       0:22.552	  0.152
       0:22.560	  0.157
       0:22.568	  0.164
       0:22.576	  0.172
       0:22.584	  0.181
       0:22.592	  0.192
       0:22.600	  0.202
       0:22.608	  0.214
       0:22.616	  0.227
       0:22.624	  0.241
       0:22.632	  0.255
       0:22.640	  0.268
       0:22.648	  0.282
       0:22.656	  0.294
       0:22.664	  0.307
       0:22.672	  0.322
       0:22.680	  0.336
       0:22.688	  0.352
       0:22.696	  0.369
       0:22.704	  0.383
       0:22.712	  0.398
       0:22.720	  0.412
       0:22.728	  0.425
       0:22.736	  0.439
       0:22.744	  0.454
       0:22.752	  0.468
       0:22.760	  0.483
       0:22.768	  0.497
       0:22.776	  0.511
       0:22.784	  0.525
       0:22.792	  0.538
       0:22.800	  0.549
       0:22.808	  0.562
       0:22.816	  0.573
       0:22.824	  0.584
       0:22.832	  0.594
       0:22.840	  0.605
       0:22.848	  0.616
       0:22.856	  0.627
       0:22.864	  0.637
       0:22.872	  0.647
       0:22.880	  0.656
       0:22.888	  0.666
       0:22.896	  0.676
       0:22.904	  0.687
       0:22.912	  0.700
       0:22.920	  0.712
       0:22.928	  0.724
       0:22.936	  0.738
       0:22.944	  0.752
       0:22.952	  0.765
       0:22.960	  0.778
       0:22.968	  0.791
       0:22.976	  0.803
       0:22.984	  0.814
       0:22.992	  0.828
       0:23.000	  0.842
       0:23.008	  0.855
       0:23.016	  0.870
       0:23.024	  0.883
       0:23.032	  0.895
       0:23.040	  0.908
       0:23.048	  0.920
       0:23.056	  0.933
       0:23.064	  0.946
       0:23.072	  0.959
       0:23.080	  0.973
       0:23.088	  0.984
       0:23.096	  0.996
       0:23.104	  0.998
       0:23.112	  1.000
       0:23.120	  1.000
       0:23.128	  1.000
       0:23.136	  1.000
       0:23.144	  1.000
       0:23.152	  1.000
       0:23.160	  1.000
       0:23.168	  1.000
       0:23.176	  1.000
       0:23.184	  1.000
       0:23.192	  1.000
       0:23.200	  1.000
       0:23.208	  1.000
       0:23.216	  1.000
       0:23.224	  1.000
       0:23.232	  1.000
       0:23.240	  1.000
       0:23.248	  1.000
       0:23.256	  1.000
       0:23.264	  1.000
       0:23.272	  1.000
       0:23.280	  1.000
       0:23.288	  1.000
       0:23.296	  1.000
       0:23.304	  1.000
       0:23.312	  1.000
       0:23.320	  1.000
       0:23.328	  1.000
       0:23.336	  1.000
       0:23.344	  1.000
       0:23.352	  1.000
       0:23.360	  1.000
       0:23.368	  1.000
       0:23.376	  1.000
       0:23.384	  1.000
       0:23.392	  1.000
       0:23.400	  1.000
       0:23.408	  1.000
       0:23.416	  1.000
       0:23.424	  0.984
       0:23.432	  0.969
       0:23.440	  0.951
       0:23.448	  0.934
       0:23.456	  0.916
       0:23.464	  0.897
       0:23.472	  0.877
       0:23.480	  0.856
       0:23.488	  0.834
       0:23.496	  0.812
       0:23.504	  0.791
       0:23.512	  0.770
       0:23.520	  0.751
       0:23.528	  0.732
       0:23.536	  0.713
       0:23.544	  0.694
       0:23.552	  0.674
       0:23.560	  0.655
       0:23.568	  0.637
       0:23.576	  0.620
       0:23.584	  0.604
       0:23.592	  0.589
       0:23.600	  0.576
       0:23.608	  0.563
       0:23.616	  0.553
       0:23.624	  0.543
       0:23.632	  0.535
       0:23.640	  0.526
       0:23.648	  0.520
       0:23.656	  0.513
       0:23.664	  0.507
       0:23.672	  0.502
       0:23.680	  0.498
       0:23.688	  0.493
       0:23.696	  0.487
       0:23.704	  0.482
       0:23.712	  0.477
       0:23.720	  0.471
       0:23.728	  0.464
       0:23.736	  0.457
       0:23.744	  0.450
       0:23.752	  0.442
       0:23.760	  0.433
       0:23.768	  0.425
       0:23.776	  0.417
       0:23.784	  0.409
       0:23.792	  0.399
       0:23.800	  0.389
       0:23.808	  0.378
       0:23.816	  0.368
       0:23.824	  0.358
       0:23.832	  0.348
       0:23.840	  0.338
       0:23.848	  0.328
       0:23.856	  0.320
       0:23.864	  0.312
       0:23.872	  0.304
       0:23.880	  0.297
       0:23.888	  0.291
       0:23.896	  0.286
       0:23.904	  0.283
       0:23.912	  0.279
       0:23.920	  0.277
       0:23.928	  0.275
       0:23.936	  0.274
       0:23.944	  0.273
       0:23.952	  0.274
       0:23.960	  0.275
       0:23.968	  0.277
       0:23.976	  0.280
       0:23.984	  0.282
       0:23.992	  0.284
       0:24.000	  0.286
       0:24.008	  0.289
       0:24.016	  0.291
       0:24.024	  0.293
       0:24.032	  0.295
       0:24.040	  0.298
       0:24.048	  0.299
       0:24.056	  0.300
       0:24.064	  0.300
       0:24.072	  0.301
       0:24.080	  0.300
       0:24.088	  0.300
       0:24.096	  0.299
       0:24.104	  0.298
       0:24.112	  0.297
       0:24.120	  0.296
       0:24.128	  0.294
       0:24.136	  0.292
       0:24.144	  0.290
       0:24.152	  0.289
       0:24.160	  0.287
       0:24.168	  0.285
       0:24.176	  0.283
       0:24.184	  0.281
       0:24.192	  0.279
       0:24.200	  0.277
       0:24.208	  0.275
       0:24.216	  0.272
       0:24.224	  0.270
       0:24.232	  0.268
       0:24.240	  0.266
       0:24.248	  0.264
       0:24.256	  0.263
       0:24.264	  0.261
       0:24.272	  0.259
       0:24.280	  0.258
       0:24.288	  0.256
       0:24.296	  0.254
       0:24.304	  0.252
